Temperature,Sunlight_Hours,Humidity,Panel_Angle,Power_Output
23.108904159657687,6.989126547733588,63.799898659398224,32.335059893026084,Low
43.275000724347066,6.663296769851226,31.070719735922694,26.07523587369676,Low
35.619787963399176,5.40923130002288,40.79838166219317,43.75744837023793,Low
30.95304694689628,8.858133360811904,59.796838211469094,17.664245784448337,Low
15.460652415485278,7.812993284069031,48.925360671468795,30.574974559962925,Low
15.459808211767093,10.92560793859203,64.31426231809363,34.507350524657795,Low
12.03292642588698,4.256876643856466,77.67247407337157,38.894757127088354,Low
40.31616510212273,9.15094342044101,26.99280126291185,24.24398606498025,High
31.039025411012307,10.103591028092488,62.57406298388366,34.04226676801186,Low
34.78254022286159,10.075892553506456,33.820649337926874,20.612051498449897,High
10.720457300353086,11.0885917367642,44.868603644454154,25.24166323266371,Low
43.9468448256698,9.832269942635953,21.971763547708388,41.346949592118975,High
39.13549242801476,11.42248049318157,28.15444293756194,43.2467663265834,High
17.431868873739667,6.661252798567132,39.18663734293398,35.158607142454265,Low
16.36387385224852,8.025675334012345,40.5191483172791,23.102316177166475,Low
16.419157844870185,4.112637306263125,73.97511298772574,38.702022649113246,Low
20.64847850358382,4.05566069842633,64.5087745559909,10.905347860389707,Low
28.366475107128323,5.921012963612159,78.33097809122246,13.596106868879737,Low
25.11807565247405,4.806457577112682,55.94429062011443,33.148080773137636,Low
20.193019906931468,6.081690943486029,34.50282392547908,20.19370013445201,Low
31.414851315283283,5.416346356227179,39.659301795298575,43.29851764401672,Low
14.882285122821465,4.228160198709186,39.190155397518026,25.262121423230667,Low
20.225062698732636,11.274433171248395,39.589659659795096,25.027768713621196,Low
22.822664515279207,4.065785051111132,60.37785038670894,33.73278285668259,Low
25.962449447596256,9.888657154696684,51.84847568542497,36.86489968071663,Low
37.481158648755475,5.217183095356132,43.12545068519866,26.644555834379776,Low
16.98858237554259,11.2978369759968,28.945386123722997,17.490031559910346,Low
27.998205344476407,11.142367516719087,21.328349776528754,37.06580249539675,High
30.734509910171486,9.23120917095406,33.13008065526155,21.212294620576966,High
11.62576444519992,9.377873198404842,26.448284238120877,16.128876925285017,Low
31.264069816550343,4.042713135757508,67.12670185113436,32.10740664737546,Low
15.968344329055203,11.878972528908816,26.749877468833123,13.165878344662264,Low
12.276805754484784,11.022660828606515,63.45369423841017,43.997343628011926,Low
43.210993803866664,11.160849805840737,43.13952138656496,32.13390425442479,High
43.79712115760958,9.273956296406975,24.40270338462656,44.50634323226145,High
38.29390718407614,6.758295429236292,68.76380296589514,21.86126982175226,Low
20.661481921067974,11.149189192723846,54.7778342141968,43.99218064166393,Low
13.418523990223434,6.332135425209539,34.14569077181439,15.094678670501825,Low
33.94815592792549,8.501692346737624,73.68087045996008,11.424317032145996,Low
